date,realized,fhs_var,fhs_exc,hs_var,hs_exc,normal_var,normal_exc
2016-12-21,-0.24603857246776667,1.311125250026933,0,2.323412455036433,0,1.8476895286057093,0
2016-12-22,-0.18647112223965046,1.2203976655149398,0,2.323412455036433,0,1.841280184054246,0
2016-12-23,0.12509325350792358,1.357174446349905,0,2.323412455036433,0,1.8413464989392254,0
2016-12-27,0.22458489045486346,1.4443459903792946,0,2.323412455036433,0,1.841814054655052,0
2016-12-28,-0.8391640709771516,1.393835218392208,0,2.323412455036433,0,1.8412032931924562,0
2016-12-29,-0.029334773186837294,1.318731760550911,0,2.323412455036433,0,1.8405053780330625,0
2016-12-30,-0.4647834696854234,1.8286743911659427,0,2.323412455036433,0,1.8426592024229849,0
2017-01-03,0.8450766753157112,1.7794993551778728,0,2.323412455036433,0,1.8427203309840556,0
2017-01-04,0.5705963770549438,1.9741574566372966,0,2.323412455036433,0,1.8435464283030396,0
2017-01-05,-0.07709676024811847,1.7033501643057838,0,2.323412455036433,0,1.8435072299575812,0
2017-01-06,0.3510789180579059,1.518362861832209,0,2.323412455036433,0,1.8434419679231917,0
2017-01-09,-0.3554905471559629,1.5289208315559502,0,2.323412455036433,0,1.8435587654260113,0
2017-01-10,0.0,1.3911601782850707,0,2.323412455036433,0,1.8435189612134029,0
2017-01-11,0.2825642389101951,1.5653890157390173,0,2.323412455036433,0,1.8443150983575318,0
2017-01-12,-0.21471123937296172,1.5331511684882957,0,2.323412455036433,0,1.8445300574441104,0
2017-01-13,0.18481313951466558,1.4294570974691465,0,2.323412455036433,0,1.8444642972058836,0
2017-01-17,-0.2971914456218445,1.5186228741528862,0,2.323412455036433,0,1.844771776950129,0
2017-01-18,0.17622004698093202,1.442712792498934,0,2.323412455036433,0,1.844798416687088,0
2017-01-19,-0.3615837624319374,1.5743323087291656,0,2.323412455036433,0,1.8450014047861858,0
2017-01-20,0.33605840612999427,1.4940316707293944,0,2.323412455036433,0,1.8450459620153818,0
2017-01-23,-0.2693749646069815,1.6546947395384373,0,2.323412455036433,0,1.8449819039050341,0
2017-01-24,0.6543140528962317,1.5281814672934928,0,2.323412455036433,0,1.8443864294584662,0
2017-01-25,0.7994052795968681,1.6348877046097152,0,2.323412455036433,0,1.844472436270485,0
2017-01-26,-0.07356549352631034,1.4511008274811161,0,2.323412455036433,0,1.8411212846512854,0
2017-01-27,-0.08668394897415926,1.2499817178329073,0,2.323412455036433,0,1.8407613459920351,0
2017-01-30,-0.6027673496096654,1.2784641298891906,0,2.323412455036433,0,1.840908736573662,0
2017-01-31,-0.08903016080325453,1.3107216080862787,0,2.323412455036433,0,1.8407672288398456,0
2017-02-01,0.029831898811628964,1.63973399772855,0,2.323412455036433,0,1.8421376403638376,0
2017-02-02,0.057014683869101364,1.6397488520946875,0,2.323412455036433,0,1.8421754812082412,0
2017-02-03,0.7238496854553608,1.5841206806121244,0,2.323412455036433,0,1.8422849236213337,0
2017-02-06,-0.21175975137091033,1.5252303730392616,0,2.323412455036433,0,1.8422870069340933,0
2017-02-07,0.022680346384577152,1.3356082700527196,0,2.323412455036433,0,1.842301951350824,0
2017-02-08,0.06930821486096318,1.4256313901400746,0,2.323412455036433,0,1.84247060231448,0
2017-02-09,0.573606373596025,1.3889606169237558,0,2.323412455036433,0,1.8424941634017669,0
2017-02-10,0.35597068220090916,1.3474330333700082,0,2.323412455036433,0,1.838785259918941,0
2017-02-13,0.5232133584011204,1.2064079996099473,0,2.323412455036433,0,1.837330362398263,0
2017-02-14,0.39993271956725795,1.1141517105089949,0,2.323412455036433,0,1.8369948047271827,0
2017-02-15,0.49798886657344504,0.9807853296079467,0,2.323412455036433,0,1.8297924753300248,0
2017-02-16,-0.08644916015501691,0.9076180139622286,0,2.323412455036433,0,1.8297236682005853,0
2017-02-17,0.1677149327237158,0.8187342662578866,0,2.323412455036433,0,1.8286346108239355,0
2017-02-21,0.6029850020069154,0.8816519375883626,0,2.323412455036433,0,1.8286346160752072,0
2017-02-22,-0.10827861468040931,0.8509304493135883,0,2.323412455036433,0,1.8286699232907886,0
2017-02-23,0.04188989712592335,0.7440892532291811,0,2.323412455036433,0,1.8287286737005277,0
2017-02-24,0.14922502320316527,0.8251648421332735,0,2.323412455036433,0,1.8286274992320768,0
2017-02-27,0.10174652677336642,0.8264606458499983,0,2.323412455036433,0,1.8286877735869569,0
2017-02-28,-0.2581706115194909,0.8020441693115956,0,2.323412455036433,0,1.8287085827390681,0
2017-03-01,1.3581211083725322,0.7875081629345629,0,2.323412455036433,0,1.8288221132445788,0
2017-03-02,-0.587711697210527,0.9531659981886917,0,2.323412455036433,0,1.8294198107823174,0
2017-03-03,0.050375036853478966,0.7159791345674534,0,2.323412455036433,0,1.8302085788527949,0
2017-03-06,-0.32826227635658123,1.1320705089946792,0,2.323412455036433,0,1.8314914109258804,0
2017-03-07,-0.29176259020898776,1.113693289631788,0,2.323412455036433,0,1.831614543336893,0
2017-03-08,-0.2286827964063899,1.2914801434733554,0,2.323412455036433,0,1.8319188952594703,0
2017-03-09,0.07995756127663867,1.4321208191087953,0,2.323412455036433,0,1.831308025884511,0
2017-03-10,0.3263339705858542,1.5220574664664868,0,2.323412455036433,0,1.8312830220964424,0
2017-03-13,0.03665656191696328,1.467262781654772,0,2.323412455036433,0,1.8313068740224159,0
2017-03-14,-0.33847489808910053,1.3649057301345122,0,2.323412455036433,0,1.8291607015548752,0
2017-03-15,0.8339879124686365,1.3346296079301012,0,2.323412455036433,0,1.8291847369159218,0
2017-03-16,-0.16280347991836144,1.493013498928003,0,2.323412455036433,0,1.8291929373249605,0
2017-03-17,-0.13151792642314353,1.2909707305506037,0,2.323412455036433,0,1.8292635601249476,0
2017-03-20,-0.20119160803802946,1.3611538419887408,0,2.323412455036433,0,1.8294135479737919,0
